T(I);;;T(II);;;S;
RSD;Valve_Position;;RSD;Valve_Position;;RSD;Valve_Position
1.00E-05;1243;;2.00E-05;1452;;9.00E-05;1338
0;1243;;3.00E-05;1452;;1.00E-05;1338
1.00E-05;1243;;0.00014;1452;;0;1338
1.00E-05;1243;;-0.02681;1452;;2.00E-05;1338
2.00E-05;1243;;7.00E-05;1412;;3.00E-05;1338
3.00E-05;1243;;-0.0008;1412;;3.00E-05;1338
2.00E-05;1243;;-1.00E-05;1412;;-1.00E-05;1338
0;1243;;0.00019;1412;;0;1338
3.00E-05;1243;;0.00056;1412;;4.00E-05;1338
3.00E-05;1243;;-0.00026;1412;;8.00E-05;1338
0;1243;;0.00018;1412;;4.00E-05;1338
0.00012;1243;;0.00048;1412;;7.00E-05;1338
0.00017;1243;;4.00E-05;1412;;5.00E-05;1338
0.00011;1243;;3.00E-05;1412;;4.00E-05;1338
0.00011;1243;;2.00E-05;1412;;8.00E-05;1338
0.00013;1243;;3.00E-05;1412;;6.00E-05;1338
0.00012;1243;;0.00014;1412;;0.00016;1338
9.00E-05;1243;;0;1412;;5.00E-05;1338
8.00E-05;1243;;-2.00E-05;1412;;0.00027;1338
6.00E-05;1243;;-1.00E-05;1412;;0.0003;1338
0;1243;;9.00E-05;1412;;7.00E-05;1338
1.00E-05;1243;;2.00E-05;1412;;4.00E-05;1338
1.00E-05;1243;;2.00E-05;1412;;3.00E-05;1338
3.00E-05;1243;;-2.00E-05;1412;;2.00E-05;1338
2.00E-05;1243;;0;1412;;0.00016;1338
3.00E-05;1243;;0;1412;;3.00E-05;1338
0;1243;;-3.00E-05;1412;;2.00E-05;1338
3.00E-05;1243;;-2.00E-05;1412;;0.0001;1338
0;1243;;2.00E-05;1412;;6.00E-05;1338
1.00E-05;1243;;-2.00E-05;1412;;0.00073;1338
3.00E-05;1243;;2.00E-05;1412;;2.00E-05;1338
1.00E-05;1243;;1.00E-05;1412;;-1.00E-05;1338
2.00E-05;1243;;1.00E-05;1412;;3.00E-05;1338
2.00E-05;1243;;0;1412;;2.00E-05;1338
0;1243;;0;1412;;-1.00E-05;1338
3.00E-05;1243;;-2.00E-05;1412;;7.00E-05;1338
2.00E-05;1243;;2.00E-05;1412;;4.00E-05;1338
1.00E-05;1243;;-2.00E-05;1412;;6.00E-05;1338
3.00E-05;1243;;0;1412;;4.00E-05;1338
2.00E-05;1243;;-1.00E-05;1412;;4.00E-05;1338
3.00E-05;1243;;2.00E-05;1412;;1.00E-05;1338
1.00E-05;1243;;-1.00E-05;1412;;2.00E-05;1338
1.00E-05;1243;;4.00E-05;1412;;3.00E-05;1338
1.00E-05;1243;;0;1412;;2.00E-05;1338
5.00E-05;1243;;-1.00E-05;1412;;4.00E-05;1338
1.00E-05;1243;;2.00E-05;1412;;0;1338
0;1243;;-2.00E-05;1412;;1.00E-05;1338
1.00E-05;1243;;1.00E-05;1412;;2.00E-05;1338
2.00E-05;1243;;1.00E-05;1412;;3.00E-05;1338
2.00E-05;1243;;1.00E-05;1412;;0;1338
1.00E-05;1243;;-1.00E-05;1412;;3.00E-05;1338
4.00E-05;1243;;-2.00E-05;1412;;0;1338
2.00E-05;1243;;0;1412;;4.00E-05;1338
1.00E-05;1243;;0;1412;;0;1338
2.00E-05;1243;;2.00E-05;1412;;1.00E-05;1338
2.00E-05;1243;;-1.00E-05;1412;;-3.00E-05;1338
1.00E-05;1243;;0;1412;;7.00E-05;1338
1.00E-05;1243;;-3.00E-05;1412;;6.00E-05;1338
1.00E-05;1243;;-1.00E-05;1412;;1.00E-05;1338
1.00E-05;1243;;0;1412;;7.00E-05;1338
1.00E-05;1243;;0;1412;;2.00E-05;1338
1.00E-05;1243;;0;1412;;0.0001;1338
1.00E-05;1243;;0;1412;;3.00E-05;1338
1.00E-05;1243;;-1.00E-05;1412;;-1.00E-05;1338
2.00E-05;1243;;-1.00E-05;1412;;-1.00E-05;1338
1.00E-05;1243;;-1.00E-05;1412;;-1.00E-05;1338
1.00E-05;1243;;4.00E-05;1412;;-1.00E-05;1338
1.00E-05;1243;;0;1412;;6.00E-05;1338
