,,-3.00E-05,1440,,,-0.00013,1400,,,-1.00E-05,1400,,,7.00E-05,1360,,,1.00E-05,1360,,,0.03276,1320,,,-7.00E-05,1320,
,,-6.00E-05,1440,,,-6.00E-05,1400,,,0.00001,1400,,,4.00E-05,1360,,,3.00E-05,1360,,,4.00E-05,1360,,,2.84E-02,1320,
,,-6.00E-05,1440,,,0.00015,1400,,,0.00001,1400,,,-3.00E-05,1360,,,1.00E-05,1360,,,2.00E-05,1360,,,2.60E-04,1360,
,,-5.00E-05,1440,,,-4.00E-05,1400,,,-2.00E-05,1400,,,0,1360,,,0,1360,,,2.00E-05,1360,,,-5.00E-05,1360,
,,-0.00016,1440,,,0,1400,,,0.00003,1400,,,1.00E-05,1360,,,2.00E-05,1360,,,2.00E-05,1360,,,3.80E-04,1360,
,,-0.00015,1440,,,-0.00028,1400,,,-0.00002,1400,,,4.00E-05,1360,,,0,1360,,,1.00E-05,1360,,,7.00E-05,1360,
,,0.00014,1440,,,-2.00E-05,1400,,,0.00002,1400,,,1.00E-05,1360,,,2.00E-05,1360,,,2.00E-05,1360,,,4.00E-05,1360,
,,0.0003,1440,,,-4.00E-05,1400,,,-1.00E-05,1400,,,1.00E-05,1360,,,2.00E-05,1360,,,0,1360,,,9.00E-05,1360,
,,-5.00E-05,1440,,,-3.00E-05,1400,,,0.00004,1400,,,6.00E-05,1360,,,6.00E-05,1360,,,-1.00E-05,1360,,,-1.00E-05,1360,
,,3.00E-05,1440,,,1.00E-05,1400,,,0,1400,,,0,1360,,,-2.00E-05,1360,,,1.00E-05,1360,,,4.00E-05,1360,
,,0,1440,,,0,1400,,,-0.00001,1400,,,1.00E-05,1360,,,3.00E-05,1360,,,3.00E-05,1360,,,-1.00E-05,1360,
